INPUT:
start: 2010-01-01
factor: ['pb']
weightType: 1
factor_direction: [1]
end: 2011 -01-01
n: 10
path: D:\strategy\GDP\GD.db
hedgemethod: 1
industry_neutral: 0
backperiod: 20
positionType: 2

OUTPUT:
	time	stkcd	weight
3	2010-01-05	000568	0.10352712810391794
4	2010-01-05	002007	0.1119809896969112
0	2010-01-05	002038	0.06612147836365292
5	2010-01-05	600161	0.10513409140745048
1	2010-01-05	600276	0.07704382393736323
8	2010-01-05	600547	0.1332565346354971
7	2010-01-05	600812	0.1030590187574662
9	2010-01-05	600816	0.14172233454062086
2	2010-01-05	600875	0.06374645260221473
6	2010-01-05	601099	0.09440814795490525
0	2010-01-06	002038	0.06612147836365292
1	2010-01-06	600276	0.07704382393736323
2	2010-01-06	600875	0.06374645260221473
3	2010-01-06	000568	0.10352712810391794
4	2010-01-06	002007	0.1119809896969112
5	2010-01-06	600161	0.10513409140745048
6	2010-01-06	601099	0.09440814795490525
7	2010-01-06	600812	0.1030590187574662
8	2010-01-06	600547	0.1332565346354971
9	2010-01-06	600816	0.14172233454062086
0	2010-01-07	002038	0.06612147836365292
1	2010-01-07	600276	0.07704382393736323
2	2010-01-07	600875	0.06374645260221473
3	2010-01-07	000568	0.10352712810391794
4	2010-01-07	002007	0.1119809896969112
5	2010-01-07	600161	0.10513409140745048
6	2010-01-07	601099	0.09440814795490525
7	2010-01-07	600812	0.1030590187574662
8	2010-01-07	600547	0.1332565346354971
9	2010-01-07	600816	0.14172233454062086
0	2010-01-08	002038	0.06612147836365292
1	2010-01-08	600276	0.07704382393736323
2	2010-01-08	600875	0.06374645260221473
3	2010-01-08	000568	0.10352712810391794
4	2010-01-08	002007	0.1119809896969112
5	2010-01-08	600161	0.10513409140745048
6	2010-01-08	601099	0.09440814795490525
7	2010-01-08	600812	0.1030590187574662
8	2010-01-08	600547	0.1332565346354971
9	2010-01-08	600816	0.14172233454062086
0	2010-01-11	002038	0.06612147836365292
1	2010-01-11	600276	0.07704382393736323
2	2010-01-11	600875	0.06374645260221473
3	2010-01-11	000568	0.10352712810391794
4	2010-01-11	002007	0.1119809896969112
5	2010-01-11	600161	0.10513409140745048
6	2010-01-11	601099	0.09440814795490525
7	2010-01-11	600812	0.1030590187574662
8	2010-01-11	600547	0.1332565346354971
9	2010-01-11	600816	0.14172233454062086
0	2010-01-12	002038	0.06612147836365292
1	2010-01-12	600276	0.07704382393736323
2	2010-01-12	600875	0.06374645260221473
3	2010-01-12	000568	0.10352712810391794
4	2010-01-12	002007	0.1119809896969112
5	2010-01-12	600161	0.10513409140745048
6	2010-01-12	601099	0.09440814795490525
7	2010-01-12	600812	0.1030590187574662
8	2010-01-12	600547	0.1332565346354971
9	2010-01-12	600816	0.14172233454062086
0	2010-01-13	002038	0.06612147836365292
1	2010-01-13	600276	0.07704382393736323
2	2010-01-13	600875	0.06374645260221473
3	2010-01-13	000568	0.10352712810391794
4	2010-01-13	002007	0.1119809896969112
5	2010-01-13	600161	0.10513409140745048
6	2010-01-13	601099	0.09440814795490525
7	2010-01-13	600812	0.1030590187574662
8	2010-01-13	600547	0.1332565346354971
9	2010-01-13	600816	0.14172233454062086
0	2010-01-14	002038	0.06612147836365292
1	2010-01-14	600276	0.07704382393736323
2	2010-01-14	600875	0.06374645260221473
3	2010-01-14	000568	0.10352712810391794
4	2010-01-14	002007	0.1119809896969112
5	2010-01-14	600161	0.10513409140745048
6	2010-01-14	601099	0.09440814795490525
7	2010-01-14	600812	0.1030590187574662
8	2010-01-14	600547	0.1332565346354971
9	2010-01-14	600816	0.14172233454062086
